"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"CMF";354.23;0.0471;0.15;Inf;0.0077;"Train";12
"NMF";478.525;0.0483;0.1502;0.021;0.0136;"Train";12
"NNLM";275.6;0.0465;0.1498;0.0189;0.1128;"Train";12
"AIRWLS";167.408;0.0456;0.1496;0.0181;0.4533;"Train";12
"Newton";135.35;0.0455;0.1496;0.0181;0.4897;"Train";12
"C-SGD";66.027;0.0453;0.1496;0.0186;0.4335;"Train";12
"B-SGD";42.521;0.0447;0.1494;0.0187;0.4187;"Train";12
"glmPCA";1153.645;0.0517;0.4975;0.0265;-0.0151;"Test";12
"NBWaVE";214.728;0.0474;0.4969;0.0205;0.4333;"Test";12
"CMF";354.23;0.0473;0.497;Inf;0.0077;"Test";12
"NMF";478.525;0.0485;0.497;0.0223;0.0136;"Test";12
"NNLM";275.6;0.0467;0.4969;0.0199;0.1128;"Test";12
"AIRWLS";167.408;0.0459;0.4968;0.0195;0.4533;"Test";12
"Newton";135.35;0.0458;0.4968;0.0197;0.4897;"Test";12
"C-SGD";66.027;0.046;0.4968;0.0193;0.4335;"Test";12
"B-SGD";42.521;0.0456;0.4968;0.0193;0.4187;"Test";12
"glmPCA";1193.267;0.0504;0.0143;0.0268;-0.0104;"Full";13
"NBWaVE";201.709;0.0459;0.013;0.0193;0.4546;"Full";13
"CMF";353.193;0.0463;0.0132;0.0197;0.0232;"Full";13
"NMF";478.153;0.0476;0.0135;0.0212;0.02;"Full";13
"NNLM";275.405;0.0456;0.013;0.0189;-0.0354;"Full";13
"AIRWLS";184.333;0.0447;0.0128;0.0176;0.406;"Full";13
"Newton";144.252;0.0447;0.0128;0.0176;0.4147;"Full";13
"C-SGD";66.609;0.0446;0.0127;0.0181;0.4965;"Full";13
"B-SGD";43.12;0.0441;0.0126;0.0183;0.3736;"Full";13
"glmPCA";1193.267;0.0504;0.1516;0.0267;-0.0104;"Train";13
"NBWaVE";201.709;0.0458;0.1506;0.0192;0.4546;"Train";13
"CMF";353.193;0.0463;0.1507;0.0191;0.0232;"Train";13
"NMF";478.153;0.0476;0.151;0.0208;0.02;"Train";13
"NNLM";275.405;0.0456;0.1506;0.0186;-0.0354;"Train";13
"AIRWLS";184.333;0.0447;0.1503;0.0172;0.406;"Train";13
"Newton";144.252;0.0446;0.1503;0.0172;0.4147;"Train";13
"C-SGD";66.609;0.0445;0.1503;0.0179;0.4965;"Train";13
"B-SGD";43.12;0.044;0.1502;0.0182;0.3736;"Train";13
"glmPCA";1193.267;0.0503;0.4981;0.0271;-0.0104;"Test";13
"NBWaVE";201.709;0.0463;0.4974;0.0197;0.4546;"Test";13
"CMF";353.193;0.0463;0.4975;0.0213;0.0232;"Test";13
"NMF";478.153;0.0477;0.4976;0.0224;0.02;"Test";13
"NNLM";275.405;0.0457;0.4974;0.0196;-0.0354;"Test";13
"AIRWLS";184.333;0.0448;0.4973;0.0187;0.406;"Test";13
"Newton";144.252;0.0448;0.4973;0.0188;0.4147;"Test";13
"C-SGD";66.609;0.045;0.4973;0.0186;0.4965;"Test";13
"B-SGD";43.12;0.0446;0.4973;0.0188;0.3736;"Test";13
"glmPCA";1257.179;0.0501;0.0139;0.0269;-0.0184;"Full";14
"NBWaVE";217.716;0.0457;0.0127;0.0196;0.4676;"Full";14
"CMF";339.16;0.0457;0.0127;Inf;0.0188;"Full";14
"NMF";NA;NA;NA;NA;NA;"Full";14
"NNLM";275.264;0.0453;0.0126;Inf;0.0145;"Full";14
"AIRWLS";266.227;0.0446;0.0124;0.0178;0.4001;"Full";14
"Newton";178.087;0.0445;0.0124;0.0178;0.4439;"Full";14
"C-SGD";65.467;0.0444;0.0124;0.0183;0.448;"Full";14
"B-SGD";42.601;0.0438;0.0123;0.0183;0.4104;"Full";14
"glmPCA";1257.179;0.0501;0.1512;0.0268;-0.0184;"Train";14
"NBWaVE";217.716;0.0456;0.1502;0.0195;0.4676;"Train";14
"CMF";339.16;0.0456;0.1502;0.0186;0.0188;"Train";14
"NMF";NA;NA;NA;NA;NA;"Train";14
"NNLM";275.264;0.0453;0.1501;0.0184;0.0145;"Train";14
"AIRWLS";266.227;0.0445;0.1499;0.0174;0.4001;"Train";14
"Newton";178.087;0.0445;0.1499;0.0174;0.4439;"Train";14
"C-SGD";65.467;0.0443;0.1499;0.0181;0.448;"Train";14
"B-SGD";42.601;0.0437;0.1498;0.0181;0.4104;"Train";14
"glmPCA";1257.179;0.0501;0.498;0.027;-0.0184;"Test";14
"NBWaVE";217.716;0.0461;0.4974;0.02;0.4676;"Test";14
"CMF";339.16;0.0457;0.4975;Inf;0.0188;"Test";14
"NMF";NA;NA;NA;NA;NA;"Test";14
"NNLM";275.264;0.0453;0.4974;Inf;0.0145;"Test";14
"AIRWLS";266.227;0.0447;0.4973;0.019;0.4001;"Test";14
"Newton";178.087;0.0446;0.4973;0.0188;0.4439;"Test";14
"C-SGD";65.467;0.0447;0.4973;0.0188;0.448;"Test";14
"B-SGD";42.601;0.0443;0.4973;0.0187;0.4104;"Test";14
"glmPCA";1116.431;0.0458;0.0146;0.0239;-0.0179;"Full";15
"NBWaVE";202.803;0.0418;0.0134;0.0184;0.4787;"Full";15
"CMF";351.42;0.042;0.0135;0.0179;0.0103;"Full";15
