"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"NNLM";138.159;0.0317;0.1442;0.0121;0.0905;"Train";13
"AIRWLS";168.467;0.0314;0.1441;0.0113;0.6094;"Train";13
"Newton";94.174;0.0314;0.1441;0.0113;0.576;"Train";13
"C-SGD";50.669;0.0306;0.144;0.0126;0.5992;"Train";13
"B-SGD";26.895;0.0301;0.144;0.0129;0.4945;"Train";13
"glmPCA";507.674;0.0383;0.4944;0.0246;-0.034;"Test";13
"NBWaVE";166.878;0.0341;0.494;0.0159;0.5939;"Test";13
"CMF";267.279;0.0339;0.4941;0.0259;0.1383;"Test";13
"NMF";NA;NA;NA;NA;NA;"Test";13
"NNLM";138.159;0.0324;0.494;0.0151;0.0905;"Test";13
"AIRWLS";168.467;0.0322;0.4939;0.0176;0.6094;"Test";13
"Newton";94.174;0.0322;0.4939;0.0193;0.576;"Test";13
"C-SGD";50.669;0.0328;0.494;0.0146;0.5992;"Test";13
"B-SGD";26.895;0.0341;0.494;0.0147;0.4945;"Test";13
"glmPCA";500.893;0.0389;0.0072;0.0205;-0.0255;"Full";14
"NBWaVE";153.016;0.033;0.0061;0.014;0.5293;"Full";14
"CMF";270.878;0.0345;0.0064;0.0151;0.0236;"Full";14
"NMF";371.346;0.0354;0.0066;0.0148;0.0404;"Full";14
"NNLM";138.846;0.0328;0.0061;0.0119;0.0438;"Full";14
"AIRWLS";167.592;0.0327;0.0061;0.0122;0.525;"Full";14
"Newton";90.313;0.0327;0.0061;0.0129;0.5384;"Full";14
"C-SGD";51.114;0.0322;0.006;0.0121;0.4747;"Full";14
"B-SGD";27.487;0.0321;0.006;0.0123;0.4461;"Full";14
"glmPCA";500.893;0.0389;0.1456;0.0203;-0.0255;"Train";14
"NBWaVE";153.016;0.0323;0.1446;0.0138;0.5293;"Train";14
"CMF";270.878;0.0344;0.1449;0.0116;0.0236;"Train";14
"NMF";371.346;0.0353;0.1451;0.0131;0.0404;"Train";14
"NNLM";138.846;0.0327;0.1446;0.0111;0.0438;"Train";14
"AIRWLS";167.592;0.0325;0.1446;0.0104;0.525;"Train";14
